iter	Passed	Remaining
0	0	674
1	1	540
2	1	487
3	1	465
4	2	448
5	2	438
6	3	431
7	3	423
8	3	416
9	4	413
10	4	419
11	5	414
12	5	420
13	5	420
14	6	417
15	6	414
16	7	417
17	7	413
18	7	411
19	8	408
20	8	407
21	9	405
22	9	403
23	9	400
24	10	398
25	10	396
26	10	394
27	11	391
28	11	389
29	12	405
30	12	403
31	13	403
32	13	401
33	14	400
34	14	398
35	14	396
36	15	395
37	15	395
38	15	393
39	16	391
40	16	390
41	17	389
42	17	390
43	17	388
44	18	389
45	18	388
46	19	386
47	19	385
48	19	384
49	20	383
50	20	382
51	21	383
52	21	383
53	21	383
54	22	382
55	22	381
56	22	380
57	23	379
58	23	378
59	24	376
60	24	375
61	24	375
62	25	375
63	25	378
64	26	378
65	26	378
66	27	379
67	27	380
68	28	381
69	28	381
70	29	379
71	29	378
72	29	377
73	30	376
74	30	375
75	30	374
76	31	373
77	31	372
78	31	371
79	32	370
80	32	369
81	33	369
82	33	366
83	33	365
84	33	364
85	34	364
86	34	363
87	34	362
88	35	362
89	35	361
90	36	363
91	36	362
92	37	362
93	37	362
94	37	361
95	38	362
96	38	362
97	39	364
98	39	363
99	40	362
100	40	361
101	41	361
102	41	360
103	41	359
104	42	358
105	42	358
106	42	357
107	43	356
108	43	355
109	43	355
110	44	354
111	44	353
112	44	352
113	45	351
114	45	351
115	45	350
116	46	349
117	46	348
118	46	347
119	47	347
120	47	346
121	48	346
122	48	345
123	48	344
124	49	344
125	49	343
126	49	342
127	50	342
128	50	342
129	51	342
130	51	341
131	52	342
132	52	342
133	53	342
134	53	341
135	53	341
136	54	340
137	54	340
138	54	340
139	55	339
140	55	338
141	55	337
142	56	336
143	56	336
144	56	335
145	57	334
146	57	334
147	57	333
148	58	333
149	58	333
150	59	332
151	59	332
152	59	331
153	60	330
154	60	330
155	60	329
156	61	329
157	61	328
158	62	328
159	62	327
160	62	326
161	62	325
162	63	325
163	63	324
164	64	324
165	64	323
166	64	322
167	65	322
168	65	321
169	65	321
170	66	320
171	66	320
172	66	320
173	67	319
174	67	319
175	68	318
176	68	318
177	68	317
178	69	317
179	69	317
180	70	316
181	70	316
182	70	315
183	71	315
184	71	314
185	71	314
186	72	314
187	72	313
188	72	313
189	73	312
190	73	312
191	74	312
192	74	312
193	75	311
194	75	311
195	75	310
196	76	310
197	76	309
198	76	309
199	77	308
200	77	308
201	77	307
202	78	307
203	78	306
204	78	306
205	79	305
206	79	305
207	80	304
208	80	304
209	80	303
210	81	303
211	81	302
212	81	302
213	82	301
214	82	301
215	83	301
216	83	300
217	83	300
218	84	299
219	84	299
220	84	299
221	85	298
222	85	298
223	86	298
224	86	297
225	86	297
226	87	296
227	87	296
228	87	295
229	88	295
230	88	294
231	88	294
232	89	293
233	89	293
234	89	292
235	90	292
236	90	291
237	90	291
238	91	290
239	91	290
240	92	289
241	92	289
242	92	289
243	93	288
244	93	288
245	93	287
246	94	287
247	94	286
248	94	286
249	95	285
250	95	285
251	95	284
252	96	284
253	96	283
254	97	283
255	97	283
256	97	282
257	98	282
258	98	282
259	99	282
260	99	281
261	99	281
262	100	280
263	100	280
